date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:58:21	1004/1004	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Oct%202022%2016:58:21%20GMT	https://www.eliseehouessenon.com/robots.txt		(from )
18:58:22	20070/20070	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2016:58:21%20GMT	https://www.eliseehouessenon.com/	C:/New%20portfolio/www.eliseehouessenon.com/index.html	(from )
18:58:22	11283/11283	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/img/adeleye_ayodeji_dp_new.PNG	C:/New%20portfolio/www.eliseehouessenon.com/img/adeleye_ayodeji_dp_new.png	(from https://www.eliseehouessenon.com/)
18:58:23	140895/140895	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/bootstrap.min.css	C:/New%20portfolio/www.eliseehouessenon.com/css/bootstrap.min.css	(from https://www.eliseehouessenon.com/)
18:58:23	51246/51246	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/ionicons.css	C:/New%20portfolio/www.eliseehouessenon.com/css/ionicons.css	(from https://www.eliseehouessenon.com/)
18:58:23	6120/6120	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/mobiriseicons.css	C:/New%20portfolio/www.eliseehouessenon.com/css/mobiriseicons.css	(from https://www.eliseehouessenon.com/)
18:58:23	3352/3352	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/owl.carousel.min.css	C:/New%20portfolio/www.eliseehouessenon.com/css/owl.carousel.min.css	(from https://www.eliseehouessenon.com/)
18:58:23	5503/5503	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/splitting.css	C:/New%20portfolio/www.eliseehouessenon.com/css/splitting.css	(from https://www.eliseehouessenon.com/)
18:58:24	5236/5236	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/magnific-popup.css	C:/New%20portfolio/www.eliseehouessenon.com/css/magnific-popup.css	(from https://www.eliseehouessenon.com/)
18:58:24	20172/20172	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/main.css	C:/New%20portfolio/www.eliseehouessenon.com/css/main.css	(from https://www.eliseehouessenon.com/)
18:58:24	3075/3075	---MCZ	200	added ('OK')	text/css	date:Sun,%2001%20Nov%202020%2021:18:44%20GMT	https://www.eliseehouessenon.com/css/responsive.css	C:/New%20portfolio/www.eliseehouessenon.com/css/responsive.css	(from https://www.eliseehouessenon.com/)
18:58:25	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/New%20portfolio/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.eliseehouessenon.com/)
18:58:25	170/170	---MCZ	302	error ('Found')	text/html	date:Sun,%2023%20Oct%202022%2016:58:25%20GMT	https://unpkg.com/placeholder-loading/dist/css/placeholder-loading.min.css	C:/New%20portfolio/unpkg.com/placeholder-loading/dist/css/placeholder-loading.min.a.delayed	(from https://www.eliseehouessenon.com/)
18:58:26	1749/1749	---MCZ	200	added ('OK')	text/css	etag:%226d5-9qTznLiqVkZa8LUdBsPxrg0LxLQ%22	https://unpkg.com/placeholder-loading@0.6.0/dist/css/placeholder-loading.min.css	C:/New%20portfolio/unpkg.com/placeholder-loading@0.6.0/dist/css/placeholder-loading.min.css	(from https://www.eliseehouessenon.com/)
